feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
0.45624068,0.17239936,0.602305,0.85648537,0.27866322,0.3201996,0.00209397,0.0017157977,0.16186707,0.015097064,0.45652428,0.9999962,0.63070345,0.9673728,0.2531255,0.5143248,0.54384065,0.23519833,0.004284101,0.000600111,0.4325383,0.9999844,0.47856855,0.20472267,0.4937826,0.079193406,0.112845264,0.50062996,3.7814098e-05,0.47000876,0.5646487,0.51191914
0.06465427,0.32540154,0.7160844,0.99897754,0.9115039,0.9555132,1.0196981e-07,6.137658e-07,4.9486032e-05,0.5611332,0.5315297,0.0029687874,0.56103617,0.9478529,0.2055512,0.46170637,0.41826236,0.39672685,1.1918825e-05,6.580569e-05,0.5261588,1.0,0.6048095,0.19963281,0.47433978,0.16388828,4.7350234e-08,0.48692226,0.00012343941,0.49194506,0.44128022,0.5896826
0.109307565,0.12814833,0.3460663,0.8782075,0.49714583,0.50253224,0.00022951611,0.0003367564,0.000119835684,0.14030753,0.52706134,0.9999945,0.08336481,0.3785407,0.7740871,0.5087584,0.49478263,0.2836031,0.006233882,0.0542374,0.49245,0.99999654,0.5017586,0.19549917,0.5024496,0.095487095,0.0005779446,0.53378093,0.3003356,0.51355195,0.49358985,0.4998609
0.19278122,0.11408607,0.5520624,0.53538513,0.5246333,0.8463736,0.0001513027,0.00020260391,6.4166394e-05,0.35699892,0.53976625,0.9999887,0.20252508,0.58668417,0.4772217,0.49024314,0.5467878,0.23983502,0.002838578,0.011628433,0.4993941,0.99999833,0.52236474,0.21170583,0.5208264,0.104545385,8.211219e-05,0.4843783,0.016730601,0.5425865,0.53637195,0.54146725
0.20648037,0.12059437,0.5293028,0.44898623,0.47720438,0.92044175,0.016349182,0.0060916347,0.020014217,0.0050815265,0.48618242,0.9999993,0.163545,0.7257972,0.29646525,0.4669124,0.5362081,0.19412422,0.005708489,0.0042328495,0.4383309,0.9999862,0.49355575,0.21214436,0.4736564,0.101126865,0.008972631,0.49029958,0.0020724423,0.48100546,0.52993757,0.4786813
0.31169802,0.2064713,0.62143344,0.93627185,0.6292917,0.61489165,0.009786168,0.008741256,0.6574103,0.015077273,0.4956286,0.9999881,0.7811355,0.95230585,0.3088245,0.49633333,0.51270896,0.26436213,0.0040706983,0.00079254626,0.4878996,0.9999944,0.5070743,0.1970036,0.52077115,0.09821271,0.028098177,0.47043929,5.0927018e-05,0.47160438,0.49828193,0.52583057
0.13415381,0.06370533,0.4659947,0.5040251,0.3373023,0.7816669,5.1211722e-05,8.7863045e-05,0.00020186596,0.30176213,0.5388807,0.99996245,0.22296986,0.4343106,0.8734333,0.5253778,0.5074569,0.2333243,0.00020732428,0.0008147528,0.49969518,0.99999964,0.52653295,0.22846363,0.49956074,0.11367035,1.4781464e-05,0.45280278,0.20072643,0.52971977,0.5412169,0.5478062
0.034819122,0.07704355,0.51374984,0.99963737,0.99999225,0.9999989,5.728554e-06,1.3682061e-05,1.6076945e-07,0.005337868,0.5200546,0.9986298,0.21886908,0.52138096,0.78647023,0.5190391,0.43172356,0.4229269,2.4401374e-05,6.270063e-05,0.55610263,0.9999999,0.65739095,0.19991954,0.32352743,0.010058696,0.00021346967,0.5925903,0.0007718741,0.46564776,0.62984896,0.57899565
0.057371065,0.59087163,0.57341534,0.8242547,0.46286806,0.6389287,0.0012087155,0.0017681294,0.122237384,0.5511291,0.4899849,0.58670574,0.5003597,0.8562445,0.32939643,0.45724392,0.48600593,0.23819698,0.0015145008,0.00336111,0.48662448,0.9999976,0.51319313,0.19649383,0.47236755,0.11295935,0.002294784,0.43960372,0.00090870174,0.52337784,0.43040165,0.5137022
0.1629861,0.086554244,0.6806287,0.999554,0.99758077,0.99819785,0.00048342586,0.0016347459,0.847123,0.0015366634,0.47149855,0.99999976,0.3816071,0.9034947,0.27634567,0.4968104,0.50913286,0.24598356,0.0077246134,0.005896726,0.4695742,0.9999995,0.48253253,0.21100879,0.49802503,0.1180176,0.00035931094,0.48589316,1.2529304e-05,0.4406037,0.49920815,0.49125618
0.020752728,0.07534211,0.40415448,0.9991209,0.9996575,0.99988973,2.0104619e-05,5.241896e-05,4.1615039e-07,0.003202398,0.5431777,0.9999999,0.19230331,0.5598094,0.8686991,0.536819,0.40683714,0.45120293,5.4887965e-05,0.00013729493,0.5645861,1.0,0.55892277,0.22761875,0.42692038,0.064121194,4.0275645e-05,0.5382291,0.3261244,0.4629027,0.5392681,0.55282426
