id,formula,elements,n_elements,a,b,c,alpha,beta,gamma,volume,spacegroup,element_1,element_2,element_3,element_4,element_5,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5
1,O-O-O,"O,O,O",3,4.3047,5.2864,8.2036,89.43,89.03,96.79,186.68,144,O,O,O,,,0.4784,0.3084,0.1845,0.0162,0.0125
2,H-O-O,"H,O,O",3,4.1904,5.2654,8.2737,88.81,88.57,95.92,182.55,103,H,O,O,,,0.4888,0.339,0.15,0.0132,0.009
3,H-H-H,"H,H,H",3,4.0526,4.8612,7.1032,89.32,88.99,99.22,139.94,1,H,H,H,,,0.5593,0.3357,0.0976,0.0059,0.0016
4,O-I-I-H,"O,I,I,H",4,5.2129,6.3289,10.0895,92.2,91.57,97.41,332.87,185,O,I,I,H,,0.5384,0.2262,0.1988,0.0232,0.0134
5,O-O-O,"O,O,O",3,4.3481,5.3231,8.2836,89.32,88.95,96.75,191.72,143,O,O,O,,,0.4712,0.3077,0.1908,0.017,0.0133
6,O-H-I,"O,H,I",3,4.7686,5.7207,8.883,91.1,90.55,98.89,242.32,174,O,H,I,,,0.4976,0.2565,0.2133,0.0193,0.0133
7,O-I-I,"O,I,I",3,4.8553,5.879,9.2689,91.34,90.8,98.45,264.57,184,O,I,I,,,0.5066,0.247,0.2133,0.0193,0.0137
8,O-I-Ti-H,"O,I,Ti,H",4,5.3483,6.4282,10.1467,92.67,92.0,97.81,348.84,185,O,I,Ti,H,,0.5586,0.2186,0.1918,0.0203,0.0108
9,O-Sc-Ti,"O,Sc,Ti",3,5.4784,6.6678,10.8849,92.47,91.99,97.67,397.61,185,O,Sc,Ti,,,0.5727,0.2158,0.1819,0.0194,0.0102
10,H-Cs-O,"H,Cs,O",3,3.9591,4.7933,6.9756,89.54,89.05,98.33,132.38,2,H,Cs,O,,,0.5763,0.3182,0.0986,0.0053,0.0016
11,N-Ba-H,"N,Ba,H",3,4.4276,4.898,6.4096,93.49,92.22,105.03,139.0,1,N,Ba,H,,,0.5317,0.3552,0.1048,0.0066,0.0017
12,N-Cs-H,"N,Cs,H",3,4.2553,4.7837,6.4228,92.39,91.35,103.86,130.74,1,N,Cs,H,,,0.5555,0.3308,0.1042,0.0076,0.0019
13,H-O-O,"H,O,O",3,4.766,4.9899,5.7139,95.6,93.62,106.1,135.89,1,H,O,O,,,0.4734,0.4036,0.1142,0.0067,0.002
14,O-H-Ga,"O,H,Ga",3,6.1116,6.1193,5.451,95.53,93.76,113.2,203.86,8,O,H,Ga,,,0.5696,0.2837,0.1349,0.0086,0.0032
15,H-O-O,"H,O,O",3,4.1128,5.1422,8.0292,88.37,88.19,96.16,169.81,40,H,O,O,,,0.4849,0.3598,0.1381,0.0106,0.0066
16,H-O-H,"H,O,H",3,4.3287,4.4965,5.9058,90.78,90.11,104.73,114.95,10,H,O,H,,,0.4844,0.4225,0.084,0.0056,0.0034
17,H-O-O,"H,O,O",3,4.0157,4.9154,7.4275,88.52,88.21,96.91,146.61,7,H,O,O,,,0.4999,0.3663,0.1223,0.0076,0.0039
18,Ga-Cs-H,"Ga,Cs,H",3,4.3636,5.024,7.2286,89.86,89.66,101.63,158.47,1,Ga,Cs,H,,,0.5168,0.3707,0.1019,0.0081,0.0025
19,H-O-O,"H,O,O",3,4.1268,5.172,8.0622,88.51,88.28,95.79,172.08,43,H,O,O,,,0.4909,0.3474,0.143,0.0116,0.0071
20,O-I-I-H,"O,I,I,H",4,5.2254,6.3901,10.3229,91.99,91.44,97.19,344.69,185,O,I,I,H,,0.5364,0.2256,0.2003,0.0239,0.0137
21,O-H-H,"O,H,H",3,4.3837,5.0297,7.3247,90.38,89.62,100.07,161.5,49,O,H,H,,,0.4726,0.3302,0.1735,0.0147,0.0089
22,N-Cs-H,"N,Cs,H",3,4.2041,4.7933,6.5579,91.96,91.04,103.46,132.15,1,N,Cs,H,,,0.559,0.3356,0.0978,0.0061,0.0016
23,O-O-Br-H,"O,O,Br,H",4,4.5828,5.6008,8.8202,90.11,89.69,97.21,226.39,171,O,O,Br,H,,0.4721,0.2789,0.2105,0.0212,0.0173
24,N-Ge-H,"N,Ge,H",3,4.4145,4.9747,6.6281,92.66,91.63,102.83,145.56,1,N,Ge,H,,,0.5231,0.3471,0.1197,0.008,0.002
25,N-Ba-H,"N,Ba,H",3,4.4707,4.8548,6.1376,94.0,92.53,105.26,133.22,1,N,Ba,H,,,0.5387,0.3385,0.1134,0.0077,0.0017
26,H-H-O,"H,H,O",3,4.2025,5.0652,7.5603,89.1,88.81,98.77,160.93,1,H,H,O,,,0.4971,0.3912,0.1033,0.0062,0.0022
27,H-H-H,"H,H,H",3,4.1873,5.0439,7.7394,89.36,88.95,100.3,163.46,15,H,H,H,,,0.4515,0.3889,0.1417,0.0112,0.0068
28,Ba-Cs-H,"Ba,Cs,H",3,4.6083,5.0153,6.4267,94.63,93.14,107.56,148.53,1,Ba,Cs,H,,,0.5389,0.3404,0.1096,0.009,0.0021
29,O-H-H,"O,H,H",3,5.2767,5.2066,5.7982,94.58,93.38,107.5,159.3,13,O,H,H,,,0.5148,0.359,0.1145,0.0075,0.0043
30,H-O-O,"H,O,O",3,4.4465,4.695,5.6816,93.93,92.34,104.18,118.61,1,H,O,O,,,0.4572,0.4207,0.1121,0.007,0.003
31,H-Ba-O,"H,Ba,O",3,4.1062,5.2181,8.1599,88.61,88.44,95.73,174.84,22,H,Ba,O,,,0.5333,0.3344,0.119,0.009,0.0043
32,O-Tl-S,"O,Tl,S",3,5.4731,5.568,5.6895,96.64,94.52,109.68,173.38,1,O,Tl,S,,,0.5052,0.3479,0.1363,0.0085,0.0021
33,O-O-Br,"O,O,Br",3,4.3773,5.344,8.3046,89.56,89.15,97.03,194.26,151,O,O,Br,,,0.4763,0.2983,0.1947,0.0172,0.0135
34,H-H-H,"H,H,H",3,4.3627,5.2754,8.3169,89.57,89.42,103.44,191.41,21,H,H,H,,,0.507,0.3994,0.0847,0.0057,0.0031
35,H-H-O,"H,H,O",3,3.9819,4.7388,6.7971,89.52,89.01,98.72,128.26,1,H,H,O,,,0.5617,0.3348,0.0964,0.0055,0.0015
36,N-Ga-H,"N,Ga,H",3,4.4729,5.1175,7.1051,91.66,91.01,102.4,162.64,1,N,Ga,H,,,0.5075,0.3733,0.1087,0.0081,0.0024
37,O-Sr-I-H,"O,Sr,I,H",4,5.1079,6.302,10.2729,91.51,91.03,96.83,330.68,184,O,Sr,I,H,,0.5142,0.235,0.2069,0.0267,0.0172
38,O-Sc-I,"O,Sc,I",3,5.3375,5.4285,5.8405,95.95,94.17,105.93,169.23,2,O,Sc,I,,,0.5218,0.2933,0.1688,0.0118,0.0044
39,O-I-Ti-H,"O,I,Ti,H",4,5.4062,6.5565,10.5375,92.6,92.02,97.74,373.51,185,O,I,Ti,H,,0.5643,0.2165,0.1867,0.0214,0.0111
40,O-Sc-I,"O,Sc,I",3,4.8636,5.8586,9.1741,91.48,90.91,98.82,261.41,185,O,Sc,I,,,0.5153,0.2435,0.2113,0.0177,0.0121
41,N-N-H,"N,N,H",3,4.587,5.4119,8.2169,87.16,87.64,96.04,203.98,1,N,N,H,,,0.4808,0.3971,0.1114,0.0079,0.0028
42,O-H-H,"O,H,H",3,5.3273,5.3214,5.9313,95.29,93.84,107.2,168.15,14,O,H,H,,,0.5185,0.3379,0.1295,0.0093,0.0049
43,N-Cs-O,"N,Cs,O",3,4.0502,5.0631,7.6422,89.06,88.77,96.7,156.71,2,N,Cs,O,,,0.582,0.3062,0.103,0.0068,0.002
44,H-O-O,"H,O,O",3,4.016,4.9463,7.4325,88.77,88.5,97.42,147.64,2,H,O,O,,,0.5496,0.3401,0.1022,0.0061,0.002
45,N-Cs-O,"N,Cs,O",3,4.1002,5.0638,7.5246,89.39,89.07,97.38,156.23,1,N,Cs,O,,,0.5902,0.2958,0.1046,0.0076,0.0019
46,N-N-O,"N,N,O",3,4.3815,4.8056,6.1438,90.5,89.66,96.2,129.36,1,N,N,O,,,0.4764,0.3776,0.1351,0.0086,0.0022
47,O-Tl-P,"O,Tl,P",3,5.3967,5.4867,5.62,96.54,94.31,110.3,166.41,1,O,Tl,P,,,0.4952,0.3954,0.1027,0.0055,0.0012
48,O-H-H,"O,H,H",3,4.7479,4.9154,5.8233,93.46,92.14,101.29,135.9,3,O,H,H,,,0.476,0.3309,0.1734,0.0133,0.0063
49,H-H-O,"H,H,O",3,4.3294,4.8957,6.7824,91.66,90.67,102.7,143.76,3,H,H,O,,,0.4584,0.4026,0.1259,0.0089,0.0042
50,O-H-K-H,"O,H,K,H",4,5.7296,7.0282,11.5837,93.53,92.75,96.97,466.47,139,O,H,K,H,,0.6288,0.1999,0.1251,0.0362,0.01
51,O-Sc-I-H,"O,Sc,I,H",4,5.1293,6.2265,9.9129,92.03,91.46,98.19,316.6,183,O,Sc,I,H,,0.5286,0.2281,0.21,0.021,0.0123
52,O-Sc-Ti,"O,Sc,Ti",3,5.4628,6.5916,10.566,92.65,92.07,97.62,380.47,186,O,Sc,Ti,,,0.5693,0.2157,0.1849,0.0197,0.0104
