id,formula,elements,n_elements,a,b,c,alpha,beta,gamma,volume,spacegroup,element_1,element_2,element_3,element_4,element_5,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5,validity_level,score,is_valid,chemistry_score,lattice_score,ferroelectric_score,issues,warnings
8,O-I-Ti-H,"O,I,Ti,H",4,5.3483,6.4282,10.1467,92.67,92.0,97.81,348.84,185,O,I,Ti,H,,0.5586,0.2186,0.1918,0.0203,0.0108,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
9,O-Sc-Ti,"O,Sc,Ti",3,5.4784,6.6678,10.8849,92.47,91.99,97.67,397.61,185,O,Sc,Ti,,,0.5727,0.2158,0.1819,0.0194,0.0102,EXCELLENT,92.5,True,100.0,100.0,100.0,,
10,H-Cs-O,"H,Cs,O",3,3.9591,4.7933,6.9756,89.54,89.05,98.33,132.38,2,H,Cs,O,,,0.5763,0.3182,0.0986,0.0053,0.0016,GOOD,66.5,True,60.0,100.0,60.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics; Low oxygen content for oxide
11,N-Ba-H,"N,Ba,H",3,4.4276,4.898,6.4096,93.49,92.22,105.03,139.0,1,N,Ba,H,,,0.5317,0.3552,0.1048,0.0066,0.0017,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
14,O-H-Ga,"O,H,Ga",3,6.1116,6.1193,5.451,95.53,93.76,113.2,203.86,8,O,H,Ga,,,0.5696,0.2837,0.1349,0.0086,0.0032,GOOD,69.0,True,50.0,100.0,80.0,No cations in composition,Possible charge imbalance; Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics)
25,N-Ba-H,"N,Ba,H",3,4.4707,4.8548,6.1376,94.0,92.53,105.26,133.22,1,N,Ba,H,,,0.5387,0.3385,0.1134,0.0077,0.0017,GOOD,71.75,True,75.0,100.0,60.0,Most ferroelectrics are oxides or halides,Possible charge imbalance; Does not match typical ferroelectric patterns; Only one typical ferroelectric element
31,H-Ba-O,"H,Ba,O",3,4.1062,5.2181,8.1599,88.61,88.44,95.73,174.84,22,H,Ba,O,,,0.5333,0.3344,0.119,0.009,0.0043,GOOD,69.5,True,60.0,100.0,70.0,Severe charge imbalance,High hydrogen content unusual for ferroelectrics; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 22 not typical for ferroelectrics; Low oxygen content for oxide
37,O-Sr-I-H,"O,Sr,I,H",4,5.1079,6.302,10.2729,91.51,91.03,96.83,330.68,184,O,Sr,I,H,,0.5142,0.235,0.2069,0.0267,0.0172,EXCELLENT,86.0,True,90.0,100.0,90.0,,Possible charge imbalance; No d0 transition metal (common in oxide ferroelectrics)
38,O-Sc-I,"O,Sc,I",3,5.3375,5.4285,5.8405,95.95,94.17,105.93,169.23,2,O,Sc,I,,,0.5218,0.2933,0.1688,0.0118,0.0044,EXCELLENT,83.5,True,100.0,100.0,70.0,,Only one typical ferroelectric element; No d0 transition metal (common in oxide ferroelectrics); Spacegroup 2 not typical for ferroelectrics
39,O-I-Ti-H,"O,I,Ti,H",4,5.4062,6.5565,10.5375,92.6,92.02,97.74,373.51,185,O,I,Ti,H,,0.5643,0.2165,0.1867,0.0214,0.0111,EXCELLENT,89.0,True,90.0,100.0,100.0,,Possible charge imbalance
