material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-626431,Al(HO)3,1,P1,0.034632219999999006,False,0.6666638176903538,0.9999401569366455,True,True,True,False,False
mp-626435,Al(HO)3,1,P1,0.025205606071428,False,0.9999966621398926,0.9999983310699463,True,True,True,False,False
mp-676414,Al4CO,1,P1,0.41230998500000104,False,0.33333685412647657,0.04360273852944374,True,True,True,False,False
mp-779457,Ge2N2O,1,P1,0.10729504499999801,False,0.186235477005539,0.999995231628418,True,True,True,False,False
mp-685157,IF7,1,P1,0.217331866249999,False,0.3334525313184713,0.05521274358034134,True,True,True,False,False
mp-1234075,K2MgNb2P2(CO7)2,1,P1,0.276322109100796,False,0.2909593598505656,0.9999654293060303,True,True,True,False,False
mp-35889,K4C2O3,1,P1,0.46866332987846904,False,0.6565132207861097,0.9999790191650391,True,True,True,False,False
mp-675766,K4CO6,1,P1,0.330925429090906,False,0.3439570585420976,0.030735759064555168,True,True,True,False,False
mp-676693,KCN,1,P1,0.7536934737499991,False,0.2346377097246659,0.9999966621398926,True,True,True,False,False
mp-2224833,MgVCl2O,1,P1,0.33341030408333805,False,0.6568892877959911,0.9999631643295288,True,True,True,False,False
mp-1173871,Na2SO4,1,P1,0.37179569571428606,False,0.33414871731656604,0.9999861717224121,True,True,True,False,False
mp-37430,Na4S2O5,1,P1,0.23612722772727102,False,0.01806145890024406,0.9999988079071045,True,True,True,False,False
mp-2218244,Na5MgBiO5,1,P1,0.16024816895833102,False,0.3318394810020209,0.9959004521369934,True,True,True,False,False
mp-1180008,O2,1,P1,0.419853780833332,False,0.3397825501236487,0.9999984502792358,True,True,True,False,False
mp-1180064,O2,1,P1,0.38701357199999903,False,0.6667913391332453,0.9999747276306152,True,True,True,False,False
mp-1023371,Sn4SF6,1,P1,2.815440595,False,0.33333350453609495,0.9999971389770508,True,True,True,False,False
mp-685023,Sr4N3,1,P1,0.190831994285716,False,0.9998567700386047,0.01728796400129795,True,True,True,False,False
mp-626414,Al(HO)3,2,P-1,0.036063947857142,False,0.666663900681821,0.9999973773956299,True,True,True,False,False
mp-1181380,K2PbO6,2,P-1,0.29364253777777705,False,0.283049639779468,0.9999909400939941,True,True,True,False,False
mp-1176510,LiVS3,2,P-1,0.102973500583332,False,0.33339334479387617,0.9999991655349731,True,True,True,False,False
mp-676084,Na2SnS,2,P-1,0.43440981,False,0.47651091947530705,0.9987718462944031,True,True,True,False,False
mp-1187081,SiSn3,2,P-1,0.321408698749998,False,0.33328851815075683,0.9999983310699463,True,True,True,False,False
mp-556376,SiO2,3,P2,0.42902559138889,False,0.999751627445221,0.9999997615814209,True,True,True,False,False
mp-675879,Ag3SI,4,P2_1,0.07550974299999601,False,0.9999978939692179,0.9999963045120239,True,True,True,False,False
mp-626631,Al(HO)3,4,P2_1,0.08832024053571401,False,0.9237459301948547,0.9970163106918335,True,True,True,False,False
mp-768350,Ba2YF7,4,P2_1,0.06809164299999801,False,0.9999994039535522,0.9999982118606567,True,True,True,False,False
mp-644852,BaCa(CO3)2,4,P2_1,0.013567834999999001,False,0.9999987284342448,0.9999972581863403,True,True,True,False,False
mp-770427,BaLaCl5,4,P2_1,0.062747197857141,False,0.9999994039535522,0.9999988079071045,True,True,True,False,False
mp-1182293,BrO4,4,P2_1,0.367534448749999,False,0.6666777041682508,0.9671537280082703,True,True,True,False,False
mp-1182418,BrO4,4,P2_1,0.197551227749999,False,0.9999970197677612,0.9999994039535522,True,True,True,False,False
mp-1100349,Ca4Sn3S10,4,P2_1,0.11064538441176401,False,0.6437623252471288,0.01597714051604271,True,True,True,False,False
mp-560899,CaB3H5O8,4,P2_1,0.009811502499989001,False,0.6666650621790874,0.06992405652999878,True,True,True,False,False
mp-567594,Cs2HgI4,4,P2_1,0.0007291078571410001,False,0.9999987681706747,0.9999978542327881,True,True,True,False,False
mp-1227891,Cs2W3(S2O)4,4,P2_1,1.143831732941175,False,0.3333276206847131,0.9932292699813843,True,True,True,False,False
mp-600236,Cu2H10C6S3N4,4,P2_1,0.19155717856666502,False,0.999999205271403,0.9999994039535522,True,True,True,False,False
mp-554570,H10C3NClO4,4,P2_1,0.6190078439473681,False,0.9999994436899821,0.9999978542327881,True,True,True,False,False
mp-626024,H2SeO4,4,P2_1,0.001583211785714,False,0.9239443937937418,0.9999934434890747,True,True,True,False,False
mp-1237314,H5C2S2N3,4,P2_1,0.06496538624999901,False,0.666777353947206,0.8429337739944458,True,True,True,False,False
mp-625274,H5IO6,4,P2_1,0.051012119999998,False,0.6948164080580076,0.9999951124191284,True,True,True,False,False
mp-625890,H5IO6,4,P2_1,0.046856533749997,False,0.6669271955809867,0.08185568451881409,True,True,True,False,False
mp-1181093,H6N4O9,4,P2_1,0.20382770381578702,False,0.6666684188076033,0.14250531792640686,True,True,True,False,False
mp-1105944,HS2N(O2F)2,4,P2_1,0.07688753120833401,False,0.9999975760777792,0.01769118756055832,True,True,True,False,False
mp-554107,K2Na4Ge2O7,4,P2_1,0.000496668277784,False,0.36957638058811426,0.06568560004234314,True,True,True,False,False
mp-776081,K2O,4,P2_1,0.08821736333333301,False,0.9999989668528239,0.9999997615814209,True,True,True,False,False
