material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe,label_source,refined_ferroelectric
mp-676400,TlNO2,1,P1,4,0.11217182333333,False,0.999995231628418,0.9999983310699464,True,True,True,0.999996781349182,False,model_prediction,True
mp-755571,Li2VGa3O8,1,P1,14,0.072188230928566,False,0.999995231628418,0.9999983310699464,True,True,True,0.999996781349182,False,model_prediction,True
mp-685023,Sr4N3,1,P1,7,0.190831994285716,False,0.9999949932098388,0.9999983310699464,True,True,True,0.9999966621398926,False,model_prediction,True
mp-998157,RbSnBr3,1,P1,5,0.044643826000001,False,0.9999951124191284,0.9999982118606568,True,True,True,0.9999966621398926,False,model_prediction,True
mp-674708,Rb4N4O3,1,P1,11,0.841337291414141,False,0.999995231628418,0.9999980926513672,True,True,True,0.9999966621398926,False,model_prediction,True
mp-1176510,LiVS3,2,P-1,10,0.102973500583332,False,0.9999951124191284,0.9999980926513672,True,True,True,0.9999966025352478,False,model_prediction,True
mp-759609,Li5VO4F,8,Cm,11,0.045516524318182,False,0.9999951124191284,0.9999980926513672,True,True,True,0.9999966025352478,False,model_prediction,True
mp-1245795,CsCN,9,Cc,6,0.097027608611111,False,0.9999951124191284,0.9999980926513672,True,True,True,0.9999966025352478,False,model_prediction,True
mp-1233100,MgSn8(P2O9)2,2,P-1,31,0.114593879784947,False,0.9999948740005492,0.9999983310699464,True,True,True,0.9999966025352478,False,model_prediction,True
mp-1222533,Li4SiGe3O10,1,P1,18,0.05439670361111,False,0.9999953508377076,0.9999977350234984,True,True,True,0.999996542930603,False,model_prediction,True
mp-998194,RbInBr3,8,Cm,5,0.041326333500001,False,0.9999951124191284,0.9999979734420776,True,True,True,0.999996542930603,False,model_prediction,True
mp-759471,Li7VO5F,1,P1,14,0.066892045535714,False,0.9999948740005492,0.9999982118606568,True,True,True,0.999996542930603,False,model_prediction,True
mp-1218778,Sr2LiSiN3,5,C2,28,0.106884434999998,False,0.9999947547912598,0.9999983310699464,True,True,True,0.999996542930603,False,model_prediction,True
mp-694855,Li2MoO3,2,P-1,12,0.0,True,0.999995231628418,0.999997854232788,True,True,True,0.999996542930603,False,model_prediction,True
mp-541684,K3AlP2,2,P-1,48,0.0,True,0.9999947547912598,0.9999982118606568,True,True,True,0.9999964833259584,False,model_prediction,True
mp-9145,Rb2SnSe3,2,P-1,12,0.0,True,0.9999948740005492,0.9999980926513672,True,True,True,0.9999964833259584,False,model_prediction,True
mp-635393,Ca2PI,1,P1,4,0.087147055,False,0.9999948740005492,0.9999980926513672,True,True,True,0.9999964833259584,False,model_prediction,True
mp-683308,Rb2VAgSe4,1,P1,16,0.008565866875,False,0.9999949932098388,0.9999979734420776,True,True,True,0.9999964833259584,False,model_prediction,True
mp-752971,Li4VO4F,4,P2_1,20,0.065236587499998,False,0.9999947547912598,0.9999982118606568,True,True,True,0.9999964833259584,False,model_prediction,True
