material_id,formula,spacegroup_number,spacegroup_symbol,num_atoms,energy_above_hull,is_stable,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability,is_known_fe
mp-555095,Ba5Re3NO18,185,P6_3cm,54,0.0,True,0.9999895095825195,0.9259320497512817,True,False,False,0.9629607796669006,True
mp-555966,BaTi2O5,5,C2,24,0.0020644641666660002,False,0.9999939203262329,0.8769422769546509,True,False,False,0.9384680986404419,True
mp-1191256,Ca2CdAs2,8,Cm,25,0.021480954999999,False,0.9999668598175049,0.8530706763267517,True,False,False,0.9265187680721283,True
mp-1029652,Y3Si6N11,100,P4bm,40,0.0,True,0.8338505029678345,0.9999864101409912,False,True,False,0.9169184565544128,True
mp-1029404,KGe2N3,36,Cmc2_1,12,0.0,True,0.8051145672798157,0.9999781847000122,False,True,False,0.9025463759899139,True
mp-1217830,TaTlWO6,46,Ima2,18,0.0,True,0.7998163104057312,0.9999918937683105,False,True,False,0.8999041020870209,True
mp-570506,ZrI2,31,Pmn2_1,12,0.0,True,0.9998476505279541,0.7932767271995544,True,False,False,0.8965621888637543,True
mp-1245106,GaN,1,P1,100,0.7246973765000011,False,0.7767316699028015,0.9764109253883362,False,True,False,0.8765712976455688,True
mp-1214601,Ba5Re3IO15,185,P6_3cm,48,0.0,True,0.9996196031570435,0.6657171249389648,True,False,False,0.8326683640480042,True
mp-1025567,NbCl2O,5,C2,8,0.0,True,0.9999939203262329,0.6371380090713501,True,False,False,0.8185659646987915,True
mp-1224229,K10Zn4Sn4S17,160,R3m,35,0.0,True,0.59366774559021,0.9999963045120239,False,True,False,0.7968320250511169,True
mp-17698,K6CdTe4,186,P6_3mc,22,0.0,True,0.5781846046447754,0.999996542930603,False,True,False,0.7890905737876892,True
mp-542136,Na3PSO3,161,R3c,16,0.0,True,0.9999721050262451,0.5069674253463745,True,False,False,0.7534697651863098,True
mp-1218554,Sr7Y6OF30,146,R3,44,0.0,True,0.9999834299087524,0.43657106161117554,True,False,False,0.718277245759964,True
mp-7447,Rb2Se3,36,Cmc2_1,10,0.0,True,0.9999935626983643,0.2598765194416046,True,False,False,0.6299350410699844,True
mp-15573,Tl3AsO4,173,P6_3,16,0.0,True,0.24109743535518646,0.9999706745147705,False,True,False,0.6205340549349785,True
mp-625199,ScHO2,1,P1,8,0.21486942249999902,False,0.23663684725761414,0.9999949932098389,False,True,False,0.6183159202337265,True
mp-1024047,Na6ZnSe4,186,P6_3mc,22,0.0,True,0.2083130031824112,0.9999520778656006,False,True,False,0.6041325405240059,True
mp-756044,Na3AsO4,31,Pmn2_1,16,0.0,True,0.4745117723941803,0.6643458008766174,False,False,False,0.5694287866353989,True
mp-29033,P3BrCl14,79,I4,18,0.002091455166667,False,0.09232006967067719,0.999983549118042,False,True,False,0.5461518093943596,True
mp-23400,In(IO3)3,173,P6_3,26,0.010694221923076001,False,0.0571521557867527,0.9999899864196777,False,True,False,0.5285710711032152,True
mp-9066,NaLi2AsO4,31,Pmn2_1,16,0.0,True,0.9999827146530151,0.05485047027468681,True,False,False,0.527416592463851,True
mp-1198721,Rb2Mo3SeO12,173,P6_3,36,0.0,True,0.9999481439590454,0.05114543437957764,True,False,False,0.5255467891693115,True
mp-2979,ZnGeN2,33,Pna2_1,16,0.0,True,0.049755219370126724,0.9999963045120239,False,True,False,0.5248757619410753,True
mp-863678,KZn4(SbO4)3,146,R3,20,0.0,True,0.06359130889177322,0.9811011552810669,False,True,False,0.5223462320864201,True
mp-8973,NaSi2N3,36,Cmc2_1,12,0.0,True,0.9999364614486694,0.03333166241645813,True,False,False,0.5166340619325638,True
mp-772410,Ti(SO4)2,146,R3,33,0.008455442424242001,False,0.03191465884447098,0.9999946355819702,False,True,False,0.5159546472132206,True
mp-1244896,GaN,1,P1,100,0.744233066999999,False,0.034155942499637604,0.9975359439849854,False,True,False,0.5158459432423115,True
mp-1244903,GaN,1,P1,100,0.715251828899999,False,0.032125942409038544,0.9976621866226196,False,True,False,0.5148940645158291,True
mp-559053,NaY(SeO3)2,33,Pna2_1,40,0.0,True,0.02755437232553959,0.9999902248382568,False,True,False,0.5137722985818982,True
mp-557414,BaSi6N8O,44,Imm2,16,0.0,True,0.9870963096618652,0.039759159088134766,True,False,False,0.513427734375,True
mp-1225870,CsTaS3,186,P6_3mc,10,0.0,True,0.026408473029732704,0.999993085861206,False,True,False,0.5132007794454694,True
mp-1103527,BaBClF4,31,Pmn2_1,14,0.0,True,0.9999946355819702,0.024874815717339516,True,False,False,0.5124347256496549,True
mp-1020059,LiGe2N3,36,Cmc2_1,12,0.0,True,0.999984622001648,0.022938212379813194,True,False,False,0.5114614171907306,True
mp-2025375,Tl2S,157,P31m,9,0.000221949629626,False,0.021702419966459274,0.9999818801879883,False,True,False,0.5108421500772238,True
mp-552663,LiScAs2O7,5,C2,11,0.0,True,0.01974278874695301,0.9999973773956299,False,True,False,0.5098700830712914,True
mp-561104,Ga(IO3)3,173,P6_3,26,0.0,True,0.01030759047716856,0.9999955892562866,False,True,False,0.5051515898667276,True
mp-23064,Bi2MoO6,29,Pca2_1,36,0.0,True,0.9998217225074768,0.00860582385212183,True,False,False,0.5042137731797993,True
mp-1101755,GePtS,29,Pca2_1,12,0.0,True,0.016566962003707886,0.9918603301048279,False,True,False,0.5042136460542679,True
mp-715584,MoO3,7,Pc,16,0.0,True,0.9998903274536133,0.0024588597007095814,True,False,False,0.5011745935771614,True
