material_id,formula,spacegroup_number,spacegroup_symbol,energy_above_hull,is_stable,gcnn_v6_prob,nequip_v2_prob,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,is_known_fe,is_known_non_fe
mp-32868,Ag2S,1,P1,0.057333213888888006,False,2.958959352857467e-05,4.7543711190201066e-08,False,False,False,True,False
mp-1247838,Al2Se3,1,P1,1.8126235190000002,False,3.018076265940787e-07,5.967266503148494e-08,False,False,False,True,False
mp-625075,AlHO2,1,P1,0.174964634374999,False,0.33333044833952385,8.834519604761226e-08,True,False,False,True,False
mp-658803,Au2O3,1,P1,0.026197807999998,False,0.32743941394600523,5.11411542447604e-07,True,False,False,True,False
mp-673678,Ba2In2O5,1,P1,0.15130030166666802,False,0.0001240893087791998,8.570634690840961e-08,False,False,False,True,False
mp-697853,Ba3WO6,1,P1,0.10368734749999901,False,3.9657243178226054e-07,4.296683542293067e-08,False,False,False,True,False
mp-1244907,BeO,1,P1,0.257439136499999,False,1.1935532266231044e-07,4.942753317749293e-09,False,False,False,True,False
mp-1244919,BeO,1,P1,0.26425173829999804,False,3.5807681086907905e-07,5.1410617984970486e-09,False,False,False,True,False
mp-1244963,BeO,1,P1,0.289117839399999,False,4.199651589450089e-07,5.6197708708793925e-09,False,False,False,True,False
mp-1245060,BeO,1,P1,0.3269340063,False,9.836085013148477e-08,5.078201859021192e-09,False,False,False,True,False
mp-1245079,BeO,1,P1,0.31055285269999905,False,1.0455732753674359e-07,5.077214204618485e-09,False,False,False,True,False
mp-675724,BiTeO4,1,P1,0.597287481666666,False,0.0020576320351513764,7.918382038951677e-08,False,False,False,True,False
mp-24390,CaPHO4,1,P1,0.0,True,4.7312576612057455e-07,0.9999791383743286,False,True,False,True,False
mp-1244866,GaN,1,P1,0.658416288499999,False,8.214831126451827e-08,5.840294470260687e-09,False,False,False,True,False
mp-1244884,GaN,1,P1,0.6922918271,False,7.794366988870631e-08,5.583934203912122e-09,False,False,False,True,False
mp-1244886,GaN,1,P1,0.705034533699999,False,9.353862158908062e-08,5.683076675921939e-09,False,False,False,True,False
mp-1244896,GaN,1,P1,0.744233066999999,False,8.098902289551309e-08,6.265948204742244e-09,False,False,False,True,False
mp-1244903,GaN,1,P1,0.715251828899999,False,9.378102324338518e-08,5.956392268302579e-09,False,False,False,True,False
mp-1244916,GaN,1,P1,0.6491310883000001,False,8.543836097866613e-08,5.957597082328903e-09,False,False,False,True,False
mp-1244927,GaN,1,P1,0.7021790985,False,7.768220674127709e-08,5.0666311146585485e-09,False,False,False,True,False
mp-1244934,GaN,1,P1,0.6862479981,False,9.12517468994641e-08,6.078159309197417e-09,False,False,False,True,False
mp-1244975,GaN,1,P1,0.6177373734,False,8.069481793882005e-08,6.120248752239377e-09,False,False,False,True,False
mp-1244984,GaN,1,P1,0.7416738018000011,False,8.05647791442728e-08,6.087255588482776e-09,False,False,False,True,False
mp-1244995,GaN,1,P1,0.631335718099999,False,8.11798841482414e-08,6.303142896513236e-09,False,False,False,True,False
mp-1244998,GaN,1,P1,0.768195017,False,8.328184482782793e-08,5.419986237598096e-09,False,False,False,True,False
mp-1245002,GaN,1,P1,0.6981295242000001,False,8.957727478294449e-08,6.364076821085973e-09,False,False,False,True,False
mp-1245013,GaN,1,P1,0.7175379763999991,False,8.142722881151106e-08,6.230898019765618e-09,False,False,False,True,False
mp-1245030,GaN,1,P1,0.7067078000000001,False,8.762506335339519e-08,6.4874927652169845e-09,False,False,False,True,False
mp-1245033,GaN,1,P1,0.7024155227999991,False,8.420218478022434e-08,4.916933082910191e-09,False,False,False,True,False
mp-1245046,GaN,1,P1,0.7044640895000001,False,8.428860572469905e-08,5.504519062782265e-09,False,False,False,True,False
mp-1245069,GaN,1,P1,0.680459476500001,False,8.723572146133544e-08,6.8825980470421655e-09,False,False,False,True,False
mp-1245075,GaN,1,P1,0.7340944892000001,False,7.94007372443654e-08,6.4464060756108665e-09,False,False,False,True,False
