filepath,formula,spacegroup_number,spacegroup_symbol,num_atoms,endpoint,gcnn_probability,nequip_probability,gcnn_ferroelectric,nequip_ferroelectric,consensus_ferroelectric,avg_probability
/home/ubuntu/ai_wh/wh-ai/new_data/database/CsMg6SiO8/mp_1257226_mp_1031233_cost_0.1304/1_normalized.vasp,CsMg6SiO8,1,P1,16,1,0.9999949932098389,0.9999982118606567,True,True,True,0.9999966025352478
/home/ubuntu/ai_wh/wh-ai/new_data/database/Mg2Si/mp_1074685_mp_1074665_cost_0.3697/1_normalized.vasp,Mg2Si,1,P1,12,1,0.9999947547912598,0.9999982118606567,True,True,True,0.9999964833259583
/home/ubuntu/ai_wh/wh-ai/new_data/database/TlGeF3/mp_998712_mp_998711_cost_0.2398/1_normalized.vasp,TlGeF3,1,P1,10,1,0.9999948740005493,0.9999979734420776,True,True,True,0.9999964237213135
/home/ubuntu/ai_wh/wh-ai/new_data/database/CeMg5/mp_1039088_mp_1094711_cost_0.2961/1_normalized.vasp,CeMg5,8,Cm,6,1,0.9999945163726807,0.9999982118606567,True,True,True,0.9999963641166687
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb/mp_1179802_mp_1543931_cost_0.2144/1_normalized.vasp,Rb,1,P1,8,1,0.9999948740005493,0.999997615814209,True,True,True,0.9999962449073792
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb5NO5/mp_676229_mp_1173446_cost_0.4174/1_normalized.vasp,Rb5NO5,1,P1,11,1,0.9999945163726807,0.9999979734420776,True,True,True,0.9999962449073792
/home/ubuntu/ai_wh/wh-ai/new_data/database/K6InP3/mp_675132_mp_1224505_cost_0.2158/1_normalized.vasp,K6InP3,2,P-1,20,1,0.9999946355819702,0.9999977350234985,True,True,True,0.9999961853027344
/home/ubuntu/ai_wh/wh-ai/new_data/database/Li7SbO6/mp_37436_mp_27453_cost_0.0930/1_normalized.vasp,Li7SbO6,1,P1,14,1,0.999995231628418,0.9999971389770508,True,True,True,0.9999961853027344
/home/ubuntu/ai_wh/wh-ai/new_data/database/KCaBr3/mp_998749_mp_1211648_cost_0.0691/1_normalized.vasp,KCaBr3,8,Cm,20,1,0.999994158744812,0.9999980926513672,True,True,True,0.9999961256980896
/home/ubuntu/ai_wh/wh-ai/new_data/database/Ca2WN2/mp_1118832_mp_1446433_cost_0.1863/1_normalized.vasp,Ca2WN2,2,P-1,10,1,0.9999945163726807,0.999997615814209,True,True,True,0.9999960660934448
/home/ubuntu/ai_wh/wh-ai/new_data/database/Rb4SnO3/mp_2748904_mp_756570_cost_0.0194/1_normalized.vasp,Rb4SnO3,9,Cc,16,1,0.9999949932098389,0.9999971389770508,True,True,True,0.9999960660934448
/home/ubuntu/ai_wh/wh-ai/new_data/database/K5As4/mp_684799_mp_1223503_cost_0.2502/1_normalized.vasp,K5As4,2,P-1,9,1,0.9999948740005493,0.9999971389770508,True,True,True,0.9999960064888
