Material_Name,Material_ID,Workflow_Status,Max_Distortion (Å),Spontaneous_Strain (unitless),Symmetry_Change (Delta_SG),Bandgap (eV),Avg_Distortion (Å),Structural_Delta,Volume_Change_Ratio,Delta_Bandgap (eV),Delta_E (eV/atom),Ps (uC/cm2),Label
Mo(HO2)2,mp-625600,COMPLETED,0.3983,0.0175,1,3.2043999999999997,0.0477,0.039,0.013622571608394916,0.040200000000000014,-0.0010506192857135943,0.2426394223740693,none_ferroelectric
Al(HO)3,mp-626435,COMPLETED,0.4207,0.0204,1,5.0108,0.0284,0.042,-0.022870226867788383,0.20069999999999943,0.009805356071429294,0.11684515684569968,ferroelectric
Mo(HO2)2,mp-626586,COMPLETED,1.1971,0.0284,1,2.1433,0.112,0.221,-0.024985481551843734,-0.9784999999999999,-0.07732342285714289,16.27516280207462,none_ferroelectric
U3(HO5)2,mp-626114,COMPLETED,1.3472,0.0127,1,1.8482999999999998,0.1095,0.135,0.01930676516168644,0.10070000000000023,0.03353437666666714,22.950225136779864,none_ferroelectric
U3(HO5)2,mp-626114,COMPLETED,0.645,0.007,1,1.8482999999999998,0.0664,0.068,-0.01842742986337792,-0.10809999999999986,-0.033704994666665655,22.95017880211903,none_ferroelectric
Li3Fe2(PO4)3,mp-762728,DEFUSED,1.4858,0.0079,1,2.4560000000000004,0.0661,0.074,-0.0053833222168259386,-0.07490000000000041,null,null,none_ferroelectric
NaHO,mp-626000,COMPLETED,0.1921,0.0117,7,2.9884,0.1188,0.089,-0.014593977915152672,0.16510000000000025,0.0018497233333327756,10.704547267007257,ferroelectric
Mo(HO2)2,mp-626582,COMPLETED,1.0607,0.0112,1,2.5118,0.0824,0.085,-0.002946079830087469,-0.6414,-0.047647417857143104,39.1726829066601,none_ferroelectric
CuBi(WO4)2,mp-565192,COMPLETED,0.0665,0.0008,1,1.3261000000000003,0.011,0.014,-0.0022366306999849006,0.011600000000000499,8.955916666675279e-05,0.8239216579822344,ferroelectric
H10C3NClO4,mp-554570,COMPLETED,0.2543,0.0085,7,5.6126,0.0505,0.071,0.019888924334193318,-0.008700000000000152,-0.00048032473684234134,0.30840651021867754,ferroelectric
Cs2HgI4,mp-567594,COMPLETED,0.0599,0.0026,7,2.114,0.0251,0.019,0.0019512725403006532,0.11399999999999988,-0.0007571328571427394,0.33637725835464277,ferroelectric
V7O13,mp-715598,DEFUSED,0.2473,0.0027,1,0.5467,0.0126,0.024,0.0007841140146181378,-0.03059999999999974,null,null,none_ferroelectric
Eu2GeSe4,mp-629088,DEFUSED,0.3705,0.0069,7,0.017200000000000326,0.1226,0.057,0.002839094582015582,0.15249999999999986,null,null,none_ferroelectric
K2ZnBr4,mp-23535,COMPLETED,0.1216,0.0038,7,3.6744000000000003,0.0478,0.032,0.008500421250309293,0.18549999999999978,0.0010260692857144704,1.9486464683118552,ferroelectric
BaCa(CO3)2,mp-644852,COMPLETED,0.6048,0.0212,7,4.7581,0.1902,0.09,0.06494097019757725,-0.06510000000000105,-0.015758228999999346,0.008265569363080585,ferroelectric
CuI,mp-673245,COMPLETED,0.1261,0.0027,209,1.1656999999999993,0.0765,0.043,0.014263755686183785,0.008899999999999686,-0.0034394937499997447,0.04250001658325736,ferroelectric
RbHO,mp-626721,COMPLETED,0.4036,0.0136,7,3.3986,0.2436,0.168,-0.030241283936542098,0.2421000000000002,0.007409761666667514,10.52000604596955,ferroelectric
BaCO3,mp-762225,COMPLETED,1.2689,0.0396,7,4.4577,0.5056,0.401,0.09000529820818272,0.2030000000000003,0.0010368820000001833,0.9612651494739114,ferroelectric
Ba3Ce2C5O15F2,mp-667381,RUNNING,0.2438,0.0184,9,0.02289999999999992,0.0164,0.083,0.05667106305074691,0.021600000000000286,null,null,none_ferroelectric
KCeSiS4,mp-22809,DEFUSED,0.2954,0.0048,7,0.0,0.0798,0.04,0.010995752696629222,0.12839999999999918,null,null,none_ferroelectric
KLaSiS4,mp-861938,COMPLETED,0.276,0.0059,7,2.8472000000000004,0.077,0.033,0.003546248248530372,0.1342999999999992,0.002745851428572088,7.425558822676746,ferroelectric
SrMgF4,mp-561022,COMPLETED,0.8298,0.0135,7,6.6581,0.1068,0.09,-0.029673574941069206,0.6399000000000008,0.0348199340277775,10.748699271639234,ferroelectric
Li2Co(CO3)2,mp-765128,COMPLETED,1.3425,0.0223,10,2.0892,0.1624,0.184,-0.032069949861979564,-0.04640000000000022,-0.024686510227271974,1.2312861429309085,none_ferroelectric
Li2Co(CO3)2,mp-765126,COMPLETED,1.3899,0.0267,10,2.1362,0.138,0.231,-0.020053472431152613,-0.01949999999999985,-0.01913037000000095,4.900651618156404,none_ferroelectric
